numb,edgeA,edgeB
0,967,717
1,967,429
2,967,679
3,967,2404
4,967,367
5,967,2454
6,967,1885
7,967,391
8,967,1551
9,967,81
10,967,166
11,967,2274
12,967,1162
13,967,124
14,967,250
15,967,2829
16,967,1983
17,967,1554
18,967,2009
19,967,1013
20,967,1489
21,2553,1203
22,2553,2233
23,2553,1152
24,2553,3062
25,2553,849
26,2553,568
27,2553,2200
28,2553,940
29,2553,1077
30,2553,914
31,2553,536
32,1454,2343
33,1454,2083
34,1454,2269
35,1454,1743
36,1454,1817
37,1454,554
38,1454,758
39,1454,2909
40,1454,864
41,1454,3210
42,1454,2440
43,1454,769
44,1454,653
45,1454,604
46,1454,1226
47,1454,2011
48,1454,939
49,1454,1070
50,1454,179
51,1454,2596
52,1454,1498
53,1454,506
54,1454,386
55,1454,1123
56,1454,1317
57,1454,579
58,1454,1845
59,1454,505
60,1454,918
61,1454,2540
62,1454,2475
63,1454,2971
64,1454,1276
65,1454,1823
66,1454,1102
67,1454,3092
68,1454,351
69,1454,1946
70,1454,2823
71,1454,2510
72,1454,144
73,1454,2013
74,1454,438
75,1454,789
76,1454,1666
77,1454,251
78,1454,217
79,1454,3034
80,1454,2732
81,1454,695
82,1454,3038
83,1454,1002
84,1454,976
85,1454,2384
86,1454,1641
87,1454,1980
88,1454,239
89,1454,241
90,1454,2458
91,1454,185
92,1454,1077
93,1454,2733
94,1454,3126
95,1454,196
96,1454,1497
97,1454,331
98,1454,1206
99,1454,860
100,1454,88
101,1454,577
102,1454,385
103,1454,365
104,1454,2797
105,1454,2656
106,1454,264
107,1454,1990
108,1454,1502
109,1454,531
110,1454,1015
111,1454,1812
112,1454,2640
113,1454,343
114,1454,1626
115,1454,1464
116,1454,3181
117,1454,1106
118,1454,663
119,1454,3171
120,1454,421
121,1454,1809
122,1454,2975
123,1454,475
124,1454,2809
125,1454,1735
126,1454,65
127,1454,2425
128,1454,1935
129,1454,2017
130,1454,2841
131,1454,484
132,1454,357
133,1454,432
134,1454,1674
135,1454,1442
136,1454,2044
137,1454,2451
138,1454,507
139,1454,110
140,1454,1579
141,1454,2570
142,1454,832
143,1454,937
144,1454,2605
145,1454,914
146,1454,2765
147,1454,2372
148,1454,728
149,1454,2887
150,1454,2601
151,1454,1326
152,1454,603
153,1454,2576
154,1454,2351
155,1454,2296
156,1454,3021
157,1454,2911
158,1454,2340
159,1454,1583
160,1454,980
161,1454,2534
162,1454,2356
163,1454,3059
164,1454,1859
165,1454,1202
166,1454,2204
167,1454,2846
168,1454,739
169,1454,180
170,1454,2519
171,1454,2674
172,1454,479
173,1454,569
174,1454,3027
175,1454,1044
176,1454,1567
177,1454,2412
178,1454,2796
179,1454,1761
180,1454,490
181,1454,1234
182,1454,2006
183,1454,1144
184,1454,396
185,1454,2080
186,1454,3018
187,1454,1474
188,1454,2263
189,1454,233
190,1454,2818
191,1454,1469
192,1454,2498
193,1454,2276
194,1454,559
195,1454,1280
196,1454,634
197,1454,2266
198,1454,1457
199,1454,2705
200,1454,1752
201,1454,1404
202,1454,1335
203,1454,1275
204,1454,169
205,1454,195
206,1454,863
207,1454,1467
208,1454,249
209,1454,1592
210,1454,2542
211,1454,737
212,1454,1825
213,1454,2360
214,1454,720
215,1454,2051
216,1454,2114
217,1454,1253
218,1454,1453
219,1454,463
220,1454,401
221,1454,1227
222,1454,1706
223,1454,587
224,1454,2810
225,1454,527
226,1454,989
227,1454,1769
228,1454,3053
229,1454,841
230,1454,69
231,1454,1937
232,1454,692
233,1454,2631
234,1454,2338
235,1454,803
236,1454,1291
237,1454,375
238,1454,708
239,1454,946
240,1454,872
241,1454,2769
242,1454,1386
243,1454,1759
244,1454,437
245,1454,3142
246,1454,2297
247,1454,2246
248,1454,1732
249,1454,1733
250,1454,3104
251,1454,794
252,1454,1139
253,1454,3143
254,1454,3121
255,1730,1687
256,1730,1818
257,1730,2279
258,1730,2711
259,1730,2529
260,1730,1858
261,1730,2543
262,1730,1570
263,1730,2210
264,1730,2214
265,1730,1628
266,1730,2496
267,1730,1794
268,1730,2599
269,1730,2858
270,1730,3117
271,1730,2776
272,1730,1811
273,1730,2498
274,1730,1052
275,1730,3203
276,1730,2631
277,1730,3196
278,1476,1487
279,1476,282
280,1476,2036
281,1476,2261
282,1476,982
283,1476,514
284,1476,288
285,1476,3186
286,1476,2275
287,1476,555
288,1476,300
289,1476,3135
290,1476,2989
291,1476,1313
292,1476,1622
293,1476,1010
294,1476,1158
295,1476,1191
296,1476,1499
297,1476,3064
298,1476,1331
299,1476,1110
300,1476,489
301,1476,407
302,1476,609
303,1476,1905
304,1476,921
305,1476,2694
306,1476,2151
307,1476,1751
308,1476,1095
309,1476,810
310,1476,1764
311,1476,2472
312,1476,424
313,1476,979
314,1476,66
315,1476,3097
316,1476,752
317,1476,3086
318,1476,3102
319,1476,2745
320,1476,2085
321,1476,1426
322,1476,755
323,1476,1037
324,1476,1038
325,1476,2029
326,1476,2030
327,1476,1589
328,1459,517
329,1459,1714
330,1675,1930
331,1675,1792
332,1675,2241
333,1675,3188
334,1675,736
335,1675,1481
336,1872,2553
337,1872,742
338,1872,359
339,1872,2155
340,1872,2242
341,1872,804
342,1872,2487
343,1872,2708
344,2157,2101
345,2157,1052
346,766,2826
347,766,1092
348,766,2318
349,766,3005
350,3016,1637
351,3016,1278
352,3016,1194
353,3016,1083
354,3016,939
355,3016,1014
356,3016,2882
357,3016,2441
358,3016,2650
359,3016,1615
360,3016,2096
361,3016,106
362,3016,2827
363,3016,380
364,3016,1255
365,3016,678
366,3016,1715
367,3016,212
368,3016,3182
369,3016,243
370,3016,732
371,3016,2413
372,3016,805
373,3016,858
374,3016,2287
375,3016,1970
376,3016,2165
377,3016,3069
378,3016,2462
379,3016,199
380,3016,680
381,3016,2476
382,3016,2721
383,3016,1557
384,3016,2910
385,3016,457
386,3016,2945
387,3016,272
388,3016,1016
389,3016,2188
390,3016,567
391,3016,801
392,3016,1488
393,3016,1662
394,3016,2366
